2025-10-23 02:35:12 [ERR] [TApp.Handlers.UILogNotificationHandler] 侧板自动拧紧: TCP : Error receiving Data：OsSockerError=5;IsoTcpError=None;S7Error=0
   在 VisDummy.Protocols.侧板自动拧紧.侧板自动拧紧Scanner.<GetDevMsgAsync>d__6.MoveNext() 位置 D:\MES\Code\Src\VisDummy.Protocols\侧板自动拧紧\PlcScanner.cs:行号 39
--- 引发异常的上一位置中堆栈跟踪的末尾 ---
   在 System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   在 StdUnit.Sharp7.Options.S7PlcScanner`2.<RunAsync>d__17.MoveNext()
2025-10-23 08:45:38 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 08:45:38 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:1;Batch:0;
2025-10-23 08:45:50 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 08:45:54 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 08:45:55 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 08:45:55 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:2;Batch:0;
2025-10-23 08:45:56 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 08:46:21 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 09:04:15 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 09:04:15 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:3;Batch:0;
2025-10-23 09:04:16 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 09:04:21 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 09:04:21 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 09:04:21 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:4;Batch:0;
2025-10-23 09:04:23 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 09:04:48 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 09:23:25 [FTL] [TApp.Handlers.UILogNotificationHandler] 操作日志：已登录
2025-10-23 09:45:54 [FTL] [TApp.Handlers.UILogNotificationHandler] 操作日志：已登录
2025-10-23 09:46:17 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 09:46:17 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:1;Batch:0;
2025-10-23 09:46:19 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 09:58:19 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 09:58:30 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 09:58:30 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:1;Batch:0;
2025-10-23 09:58:32 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 09:58:36 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 09:58:36 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 09:58:36 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:2;Batch:0;
2025-10-23 09:58:38 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 09:59:03 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 10:01:24 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 10:01:24 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:3;Batch:0;
2025-10-23 10:01:25 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 10:01:30 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 10:01:30 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 10:01:30 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:4;Batch:0;
2025-10-23 10:01:32 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 10:02:09 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 10:02:38 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 10:02:38 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:5;Batch:0;
2025-10-23 10:02:39 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 10:02:44 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 10:02:44 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 10:02:44 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:6;Batch:0;
